episode_slug,status,current_phase,qualification_status,brief_status,research_status,hook_status,thesis_status,retention_status,outline_status,chapter_briefs_status,chapters_status,merge_status,editorial_qa_status,oral_qa_status,visual_map_status,slideshow_status,production_status,postmortem_status,hook_final,target_minutes,last_updated,notes,active_specialist,canonical_skill,current_input_files,current_output_file,gate_status
dry-run-pipeline-check,initialized,topic_qualification,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,, ,2026-03-27,Dry-run scaffold created to verify 15-phase episode template and bootstrap script.,,,,,,
dry-run-pipeline-check-2,initialized,topic_qualification,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,, ,2026-03-27,Second dry-run scaffold created after bootstrap cleanup validation.,,,,,,
bat-dinh-chinh-sach-my,initialized,topic_qualification,draft,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,, ,2026-03-27,Topic qualification drafted. Angle focuses on 2 transmission channels into Vietnamese wallets: tariffs and oil shock. Next: build research map to verify claims before brief.,,,,,,
buffett-gates-epstein,initialized,research_map,draft,draft,draft,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,20-40,2026-04-01,Research map drafted at borderline strength. Safe angle remains reputation risk and trust as capital; needs one more strong source before hooks/thesis.,,,,,,
to-lam-tap-can-binh-so-sanh,awaiting_approval,slideshow_render,draft,approved,draft,draft,draft,draft,draft,draft,completed,completed,completed,completed,completed,completed,in_progress,"Tại Việt Nam, tin nóng nhất lúc này không chỉ là chuyện nhân sự.",35-45,2026-04-08,"Thumbnail brief refined again after review: the final packaging keeps the main title 'NHẤT THỂ HÓA QUYỀN LỰC' and subtitle 'TRUNG QUỐC ĐÃ TRẢ GIÁ GÌ?', with explicit mobile-readable text sizing guidance. The oath-taking thumbnail alternative has been reworked into a 2D editorial press-sketch illustration so the leader remains contextually recognizable without depending on brittle real-photo generation. Slideshow base video has already been rendered and is waiting for user review before handoff. A final background music prompt has been created at episodes/to-lam-tap-can-binh-so-sanh/music_prompt_final.md, and YouTube metadata has been prepared at episodes/to-lam-tap-can-binh-so-sanh/09_youtube_metadata.md.,The Production Operator,render_slideshow,production_notes.md | visual_map.csv | scene_timing_map.json,video/slideshow_base.mp4,awaiting_user
gdp-quy-1-2026,awaiting_approval,final_merge,draft,draft,draft,draft,draft,draft,draft,draft,completed,completed,pending,pending,pending,pending,pending,"GDP quý I năm nay tăng 7,83%.",18,2026-04-06,"Final merge completed into final_voiceover.md. Script preserves the locked thesis: 7,83% confirms real growth on a non-low base, but the trade deficit, CPI, margin pressure, policy-support layer, and 10% vs 5,6% forecast gap still do not justify claiming growth quality has moved up a tier. Waiting for user approval before Financial QA and Oral QA.",,,,,,
ngung-ban-my-iran-gia-dau,awaiting_approval,final_merge,draft,draft,draft,draft,draft,draft,draft,draft,completed,pending,pending,pending,pending,pending,pending,,20-40,2026-04-09,"All 8 chapters are complete and lightly localized to reduce English jargon in voiceover. Next valid phase is Final Merge, which should preserve the distinction between market relief and physical friction without flattening chapter 07-08 into recap.",Chapter Writer,write_chapter,chapter_01.md | chapter_02.md | chapter_03.md | chapter_04.md | chapter_05.md | chapter_06.md | chapter_07.md | chapter_08.md,chapter_08.md,awaiting_user
nhung-buoc-chan-hoa-rong,initialized,research_map,pending,pending,draft,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,,2026-04-10,"Master research pack updated to map the concrete policy, infrastructure, energy, FDI, technology, and execution moves behind Vietnam's 10% growth ambition. This is reusable upstream research context, not yet a canonical phase artifact. Next valid step: Topic Qualification or Brief based on this pack.",Script Architect,build_research_map,lenh-phat-trien-10-phan-tram/01_brief.md | nhat-the-hoa-quyen-luc-va-muc-tieu-10-phan-tram/02_research_map.md | tang-truong-10-phan-tich/01_brief.md,00_master_research.md,in_progress
cu-lua-ham-tru-an-vang,in_production,record_voiceover,approved,approved,approved,approved,approved,approved,approved,approved,completed,completed,completed,completed,completed,pending,in_progress,pending,,18-23,2026-04-11,"Derivative short package was rewritten again to better carry the soul of the long-form episode: the short now opens from the pain of viewers who bought gold near the top and are taking heavy losses, then pivots into the mechanism that gold did not lose its safe-haven role but got sold first because of liquidity stress and market structure. Updated files live under episodes/cu-lua-ham-tru-an-vang/shorts/.",Shorts Producer,generate_shorts,chapter_01.md | chapter_02.md | chapter_05.md,shorts/voiceover_01_paradox.md,in_progress
vingroup-co-may-hoa-rong,awaiting_approval,final_merge,approved,approved,approved,approved,approved,approved,approved,approved,completed,completed,completed,completed,completed,completed,in_progress,pending,,30-40,2026-04-17,"Final voiceover merged from chapter_01.md through chapter_08.md. Script preserves the chaebol-lite thesis, removes chapter-boundary fragmentation, and is now waiting for user approval before any further QA or production pass.",Chapter Writer,merge_voiceover,chapter_01.md | chapter_02.md | chapter_03.md | chapter_04.md | chapter_05.md | chapter_06.md | chapter_07.md | chapter_08.md | 03_thesis_map.md | 02_hook_pack.md | 05_continuity_packet.md | 06_claim_ledger.md,final_voiceover.md,awaiting_user
duong-sat-toc-do-cao-trung-quoc,awaiting_approval,slideshow_render,draft,approved,approved,approved,approved,approved,approved,approved,completed,pending,completed,completed,pending,completed,in_progress,pending,,28-35,2026-04-17,"Slideshow base video rendered from the user-provided image folder at /Users/pro16/Downloads/caotoc-trungquoc with settings 8 seconds per image, 1 second transition, 30 fps, seed 42. Waiting for user review of the base video before production handoff; visual_map.csv is still absent in the episode workspace.",The Production Operator,render_slideshow,production_notes.md | scene_timing_map.json | /Users/pro16/Downloads/caotoc-trungquoc,video/slideshow_base.mp4,awaiting_user
