segment_id,script_section,start_hint,end_hint,retention_role,visual_intensity,visual_mode,on_screen_text,source_needed,chart_or_broll,motion_style,duration_hint,risk_notes,editor_notes
VM01,Ch1 - Hook mở đầu và bối cảnh World Cup 2026,"Một người thắng cược 5 triệu đồng.","Không phải để xem bóng đá, mà để kiểm tra tỷ lệ kèo.",hook,high,current-event collage + phone-glow metaphor,"World Cup 2026: 2 AM Phone Glow",yes,b-roll of 2 AM dark bedroom/glowing phone/betting odds screen,slow push-in + quick contrast cuts,35-45s,"Tránh hình ảnh mang tính kích động hoặc quá cụ thể về trang web cá độ.",Mở đầu với nhịp nhanh của Hook 2 (World Cup 2026) theo yêu cầu người dùng.
VM02,Ch1 - Bối cảnh các chuyên án Việt Nam,"Ở Việt Nam, câu chuyện không nằm trong đường dây nóng.","Lâm Đồng, 5 tỷ.",Vietnamese context,high,documentary-crime illustration,"NINH BINH: 900B | DANANG: 20B | HUNG YEN: 11B | LAM DONG: 5B",yes,stacked folders on desk with glowing VN flag labels,vertical drop of prison bars,20-30s,"Không hiển thị logo trang web cá độ lậu cụ thể; chỉ dùng số liệu từ chuyên án công an.",Đặc tả số liệu chuyên án Ninh Bình/Đà Nẵng/Hưng Yên/Lâm Đồng để tăng tính địa phương.
VM03,Ch1 - Thực tế nợ nần gia đình Việt Nam,"Đằng sau mỗi đường dây là hàng trăm gia đình","bằng một tin nhắn đòi nợ từ số lạ.",emotional relevance,medium-high,noir drama illustration,"DEBT DUE: Family impact",no,b-roll of dark kitchen/textbook/vibrating smartphone screen,slow zoom-out + steady hold,25-35s,"Tránh visual gây hoảng loạn; tập trung vào sự im lặng đáng sợ.",Làm nổi bật nỗi đau thầm lặng trong gia đình Việt Nam.
VM04,Ch2 - Tim đập 94 bpm lúc 2 AM ngồi sofa,"Phút 87. Đội bạn dẫn 1-0.","Nhanh bằng lúc bạn chạy bộ nhẹ.",personal physical shock,high,smartwatch-led physical metaphor,"HEART RATE: 94 BPM (2 AM Sofa)",yes,close-up of smartwatch glowing neon amber on wrist in dark room,steady shot + numbers pulsing,20-30s,"Không so sánh nhầm với vận động viên chạy nhanh 150 bpm. Chỉ là chạy bộ nhẹ.",Sửa lỗi 94 bpm ở sofa thành chạy bộ nhẹ theo phản hồi người dùng.
VM05,Ch2 - Gambler's Fallacy & thiên kiến xác nhận,"Tuấn bắt đầu bằng 200 nghìn một trận","Bạn phân tích để xác nhận điều bạn muốn tin.",cognitive bias reveal,medium,analytical dashboard split,"GAMBLER'S FALLACY vs CONFIRMATION BIAS",no,betting history spreadsheet vs glowing trophy target,dolly shot + overlay highlights,40-50s,"Không làm chart quá phức tạp; giữ ở dạng đồ họa vector phẳng tối giản.",Phân tích ảo tưởng tìm quy luật trong chuỗi ngẫu nhiên.
VM06,Ch3 - Thần kinh học: Wanting vs Liking,"Hầu hết mọi người tin rằng dopamine","Hai hệ thống này nằm ở hai vùng giải phẫu khác nhau",neuroscience intro,medium,3D-like brain vector outline,"WANTING vs LIKING (Kent Berridge 1993)",yes,split brain model highlighting VTA-Accumbens vs pleasure hotspots,slow orbit zoom,35-45s,"Mô tả chính xác giải phẫu thần kinh theo tài liệu khoa học.",Làm rõ dopamine mã hóa thèm khát chứ không phải niềm vui.
VM07,Ch3 - Mesolimbic Dopamine Highway & Reward Prediction Error,"Wanting được điều phối bởi mạng lưới dopamine","Đó là Wanting thuần túy.",neural mechanism,high,dopamine circuit animation,"REWARD PREDICTION ERROR: P(x) = 50%",yes,neural synapse firing cyan sparks + 50% probability dial,tracking shot along highway,45-55s,"Tránh visual quá phức tạp hoặc mang màu sắc kỳ ảo.",Giải thích cơ chế dự báo phần thưởng đạt đỉnh ở mức 50% không chắc chắn.
VM08,Ch4 - fMRI & Hiện tượng suýt trúng (Near Misses),"Phút 89. Quả sút phạt ngoài vòng cấm.","Não bộ không phân biệt \"suýt thắng\" và \"đã thắng.\"",contagion spike,high,fMRI scanner + goalpost match cut,"NEAR MISS: Ventral Striatum Activation",yes,fMRI brain scan flashing magenta in Ventral Striatum upon post hit,goalpost impact to brain flash match,35-45s,"Mô tả đúng nghiên cứu fMRI năm 2009 của Luke Clark.",Match cut từ quả bóng đập cột dọc sang vùng não bùng sáng.
VM09,Ch4 - rACC đánh tráo ý nghĩa & Skinner Pigeon,"Ở chiều sâu hơn, vỏ não đai trước","Không phải vì bạn tin mình sẽ thắng.",design flaw reveal,high,blackboard math + Skinner cage,"INTERMITTENT REINFORCEMENT: B.F. Skinner",yes,pigeon pecking glowing magenta button in cage + "ALMOST CORRECT" chalk,pan from chalkboard to pigeon cage,40-50s,"Giữ hình ảnh chim bồ câu Skinner đơn giản, tránh rối rắm.",Giải thích củng cố ngắt quãng: phần thưởng ngẫu nhiên củng cố hành vi bền bỉ nhất.
VM10,Ch5 - Ảo tưởng kiểm soát của Langer (thí nghiệm vé số),"Mở app cá cược trên điện thoại.","Langer gọi đó là ảo tưởng kiểm soát.",psychological bias,medium,raffle tickets comparison,"ILLUSION OF CONTROL (Ellen Langer 1975)",yes,hands picking custom ticket vs randomly distributed tickets on table,top-down steady shot,30-40s,"Mô tả chính xác thí nghiệm định giá vé số của Ellen Langer năm 1975.",Vạch trần ảo tưởng ảnh hưởng kết quả ngẫu nhiên thông qua hành động chủ động.
