segment_id,script_section,start_hint,end_hint,retention_role,visual_intensity,visual_mode,on_screen_text,source_needed,chart_or_broll,motion_style,duration_hint,risk_notes,editor_notes
SC001,01,00:00.00,00:04.99,Hook,High,Cel-Animation,,NHNN Cong van 5386,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC002,01,00:04.99,00:09.45,Hook,Medium,Cel-Animation,CREDIT GATE 5386,None,B-roll,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC003,01,00:09.45,00:14.44,Hook,Medium,Cel-Animation,"752,000 BILLION",None,B-roll,steady shot,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC004,01,00:14.44,00:19.43,Hook,Medium,Cel-Animation,,None,Chart,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC005,01,00:19.43,00:24.15,Actionable Guide,High,Cel-Animation,,None,B-roll,slow pan,4.72,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC006,01,00:24.15,00:28.09,Body Narrative,Medium,Cel-Animation,NORTHERN NODE,None,B-roll,steady shot,3.94,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC007,01,00:28.09,00:33.60,Body Narrative,Medium,Cel-Animation,METRO TERMINAL,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC008,01,00:33.60,00:37.80,Body Narrative,Medium,Cel-Animation,AIRPORT 4F,None,B-roll,steady shot,4.2,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC009,01,00:37.80,00:43.31,Body Narrative,High,Cel-Animation,SUMMIT 2027,None,B-roll,slow pan,5.51,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC010,01,00:43.31,00:44.88,Body Narrative,High,Cel-Animation,,NHNN Cong van 5386,B-roll,slow zoom-in,1.57,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC011,01,00:44.88,00:50.92,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,6.04,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC012,01,00:50.92,00:55.38,Body Narrative,Medium,Cel-Animation,,None,B-roll,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC013,01,00:55.38,01:00.37,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.99,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
SC014,01,01:00.37,01:04.83,Introduce Paradox,Medium,Cel-Animation,,None,Chart,steady shot,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant. Keep typography clean sans-serif and legible.
SC015,01,01:04.83,01:09.29,Body Narrative,Medium,Cel-Animation,,None,B-roll,slow pan,4.46,None,Apply GocNhinPodcast 60-30-10 palette. Dark background dominant.
