segment_id,start_hint,end_hint,emotion,semantic_theme,visual_motifs,motion_style,duration_hint,notes
CH01_SC010,0:00,0:02,anxiety,social anxiety,"Starting with a steady shot of a large closed oak door at the end of a dimly lit hallway, with light leaking from the bottom crack, deep slate blue shadows",slow pan right,2.10,Bạn đứng trước một cánh cửa phòng tiệc.
CH01_SC020,0:02,0:04,anxiety,social anxiety,"A slow camera panning right showing shadows of people chatting inside a room, silhouette figures behind a frosted glass window under a dim cyan glow",slow pan right,2.62,Bên trong là hàng trăm con người đang trò chuyện.
CH01_SC030,0:04,0:06,anxiety,social anxiety,"Starting with the shadows of people, camera pans down showing thin cyan wave vectors pulsing through a wooden door",slow pan right,2.10,Tiếng cười nói râm ran dội ra ngoài.
CH01_SC040,0:06,0:08,anxiety,social anxiety,"A steady shot of an anxious young man standing frozen before the oak door, looking down anxiously, deep slate blue ambient lighting",slow pan right,2.10,"Ngay lập tức, cơ thể bạn phản ứng."
CH01_SC050,0:08,0:10,anxiety,social anxiety,"Starting with the anxious man, a close-up shot showing his hand shaking slightly, with small water drops appearing on the palm, glowing cyan highlights",slow pan right,1.31,Tim bạn đập nhanh hơn.
CH01_SC060,0:10,0:12,anxiety,social anxiety,"Starting with the shaking hand, camera slowly zooms out showing an anxious young man holding a strap of a bag tightly, looking down with a stressed face",slow pan right,1.84,Lòng bàn tay bạn đổ mồ hôi.
CH01_SC070,0:12,0:14,anxiety,social anxiety,"A close-up shot of a brass pocket compass, the needle spins rapidly and uncontrollably on a golden face with scratches held in a trembling hand, deep slate blue shadow background",slow pan right,2.36,Bạn cảm thấy một sự đè nén ngột ngạt.
CH01_SC080,0:14,0:17,anxiety,social anxiety,"Starting with the spinning needle, camera zooms out showing an anxious young man taking a deep breath and closing his eyes in a dark corridor",slow pan right,2.62,Bạn tự nhủ với bản thân: Hãy bình tĩnh lại.
CH01_SC090,0:17,0:18,anxiety,social anxiety,"A steady shot showing a close-up of a chest expanding and contracting slowly, against a dark slate blue backdrop",slow pan right,1.31,Hít một hơi thật sâu.
CH01_SC100,0:18,0:19,anxiety,social anxiety,"Starting with the chest movement, camera pans up showing an anxious young man trying to force a stiff smile",slow pan right,1.57,Cố gắng tỏ ra tự nhiên.
CH01_SC110,0:19,0:22,anxiety,social anxiety,A slow camera panning right showing a graphic illustration of a red line graph dropping sharply on a dark chalkboard,slow pan right,2.89,"Nhưng bạn nhận ra, nỗ lực đó hoàn toàn vô ích."
CH01_SC120,0:22,0:25,anxiety,social anxiety,"Starting with the red line graph, camera zooms in showing the chalk text 'CONTROL' crumbling into dust on a black surface",slow pan right,2.36,"Càng cố bình tĩnh, bạn càng thấy run rẩy."
CH01_SC130,0:25,0:27,anxiety,social anxiety,"A steady shot showing an anxious young man walking slowly past the camera into a crowded room, leaving a trail of thin cyan dust behind him",slow pan right,1.84,Và bạn bắt đầu tự trách mình.
CH01_SC140,0:27,0:29,anxiety,social anxiety,"Starting with the trail of cyan dust, a close-up showing a hand squeezing a brass pocket compass, knuckles turning white",slow pan right,2.10,Tại sao mình lại lập dị thế này?
CH01_SC150,0:29,0:31,anxiety,social anxiety,"A slow camera panning right showing a grid of multiple outline figures staring in the same direction, deep slate blue background",slow pan right,2.36,Tại sao giao tiếp lại khó khăn đến vậy?
CH01_SC160,0:31,0:33,anxiety,social anxiety,"Starting with the staring silhouettes, camera zooms in on the brass compass with the needle spinning erratically in a hand",slow pan right,1.57,Tôi muốn giải oan cho bạn.
CH01_SC170,0:33,0:35,anxiety,social anxiety,A steady shot showing a minimalist drawing of a balance scale tilting violently to one side under a heavy cyan weight,slow pan right,2.89,Nỗi lo sợ đó không phải lỗi nhân cách của bạn.
CH01_SC180,0:35,0:39,anxiety,social anxiety,"Starting with the tilted scale, camera slowly zooms out showing a person attempting to pull the scale back with a thin rope",slow pan right,3.15,Nó là một phản ứng sinh học đang chạy đúng thiết kế.
CH01_SC190,0:39,0:43,anxiety,social anxiety,"A close-up shot of the compass on a dark table, with the needle starting to slow down, glowing cyan light reflecting on the brass rim",slow pan right,3.94,Và nỗ lực ép cơ thể bình tĩnh chính là một sai lầm vật lý.
CH01_SC200,0:43,0:46,anxiety,social anxiety,"Starting with the compass, camera pans up slowly to reveal the calm narrator sitting calmly behind a dark wooden desk in a dimly lit studio",slow pan right,3.41,"Khi adrenaline đã bơm vào máu, bạn không thể hạ nhiệt lập tức."
CH01_SC210,0:46,0:51,anxiety,social anxiety,"A steady close-up shot showing the calm narrator adjusting his glasses slightly, warm studio spotlight highlights his face",slow pan right,4.99,Giống như bạn đang cố đạp phanh khi xe đang chạy ở tốc độ trăm cây số một giờ.
CH01_SC220,0:51,0:54,anxiety,social anxiety,"Starting with the narrator, camera slowly zooms out showing a glowing cyan digital card displaying the English word 'EXCITED' aligned to the bottom-right corner",slow pan right,2.89,Thứ đang phá hủy cuộc trò chuyện không phải lo âu.
CH01_SC230,0:54,0:57,anxiety,social anxiety,"A steady medium shot showing the calm narrator speaking with a calm hand gesture, dark studio background with soft cyan ambient light",slow pan right,3.67,Đó là nỗ lực vô ích nhằm kiểm soát phán xét của người khác.
CH01_SC240,0:57,1:00,anxiety,social anxiety,"Starting with the narrator, camera pans right slowly to a chalkboard with the English text 'REAPPRAISAL' written in white chalk",slow pan right,2.89,Hãy nhìn vào chiếc la bàn bỏ túi bằng đồng này.
CH01_SC250,1:00,1:02,anxiety,social anxiety,A close-up shot of the calm narrator's hand picking up a chalk piece from the desk,slow pan right,1.84,Chiếc kim đang xoay vòng vô hướng.
CH01_SC260,1:02,1:04,anxiety,social anxiety,"Starting with the hand, camera zooms out showing the calm narrator writing a vector arrow on the chalkboard",slow pan right,1.84,Giống như tâm trí bạn lúc này.
CH01_SC270,1:04,1:07,anxiety,social anxiety,"A steady shot showing a graphic diagram of a human body with glowing cyan nervous system lines, dark background",slow pan right,3.41,"Tại Harvard, các nghiên cứu đã tìm ra một nước đi ngược lại."
CH01_SC280,1:07,1:10,anxiety,social anxiety,"Starting with the body diagram, camera pans left showing a digital table displaying the English text 'DISCLAIMER' in a clean font",slow pan right,2.36,Thay vì bắt cơ thể tắt nguồn lo âu.
