ID,Chapter,Duration (s),Voiceover Sentence,Visual Metaphor (VN),AI Video Prompt (EN)
CH01_SC000a,01,8,"VinFast đang đối mặt với bài toán mở rộng thị trường khi quy mô nội địa bắt đầu chạm trần tăng trưởng.","Hình tượng ẩn dụ con cá mập đen khổng lồ đang quẫy đuôi chật vật trong một chiếc ao nhỏ hẹp, nước đầy nhưng cực kỳ chật chội và đông đúc cá nhỏ, xung quanh là bờ đất Việt Nam và quốc kỳ Việt Nam cắm ở bờ ao.","A steady shot showing a giant solid black silhouette of a shark struggling inside a small, cramped pond crowded with countless tiny native fish. The underwater space is extremely tight and claustrophobic. On a flagpole on the grassy bank, a flag of Vietnam waves under dark overcast skies, with the English text ""DOMESTIC MARKET"" centered in the upper third in a clean bold sans-serif font. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing terracotta orange (#FF7043) accent, 8-second continuous documentary video --ar 16:9"
CH01_SC000b,01,6,"Tiến ra các thị trường quốc tế là hướng đi chiến lược để duy trì và tối ưu công suất sản xuất khổng lồ.","Con cá mập đen phóng mình vượt qua bờ cát để bơi ra một đại dương rộng lớn, sâu thẳm, phía chân trời có giông bão sấm sét.","A slow camera panning showing the same giant solid black silhouette of the shark leaping over a grassy bank to swim into a vast, deep dark ocean under a starry night sky. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing terracotta orange (#FF7043) accent, 8-second continuous documentary video --ar 16:9"
CH01_SC005b,01,6,"Ông chia sẻ rằng tốc độ ban hành chính sách của nước sở tại chưa đồng bộ với tiến độ đầu tư thực tế.","Chân dung silhouette của đại diện ban lãnh đạo hãng xe Việt phát biểu tại bục giảng, phía sau là biểu đồ so sánh tốc độ chính sách (POLICY SPEED - chậm) và tiến độ đầu tư thực tế (CAPITAL INVESTMENT - nhanh).","A steady medium shot showing the solid black silhouette of a Vietnamese corporate executive speaking at a podium, against a background showing two parallel vector lines running at different speeds, one line labeled ""POLICY SPEED"" (moving slow) and the other line labeled ""CAPITAL INVESTMENT"" (moving fast). Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing terracotta orange (#FF7043) accent, 8-second continuous documentary video --ar 16:9"
CH02_SC019a,02,5,"Nguồn vốn cho chiến dịch này dựa vào các cam kết hỗ trợ tài chính từ Vingroup và cổ đông sáng lập.","Bàn tay lớn đại diện cho tập đoàn mẹ nâng đỡ bệ cột tài chính phát sáng có chữ VINFAST đang đứng vững trước giông bão.","A steady shot showing the solid black silhouette of a large hand representing a parent group supporting a falling financial pillar labeled ""VINFAST"" under long shadows. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing crimson coral red (#EF5350) accent, 8-second continuous documentary video --ar 16:9"
CH02_SC020b,02,6,"Ngày mười chín tháng sáu năm hai nghìn không trăm hai mươi sáu, hãng ký biên bản ghi nhớ với Tata Capital.","Văn bản ký kết hợp đồng đại lý giữa VinFast và Tata Capital hiện rõ chữ tiếng Anh 'MEMORANDUM OF UNDERSTANDING' và ngày 'JUNE 19, 2026'.","A steady shot showing a flat 2D vector document of a memorandum of understanding with the English text ""MEMORANDUM OF UNDERSTANDING"" and the date ""JUNE 19, 2026"" highlighted. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing terracotta orange (#FF7043) accent, 8-second continuous documentary video --ar 16:9"
CH02_SC020c,02,5,"Đây là công ty tài chính phi ngân hàng thuộc tập đoàn đa quốc gia một trăm năm mươi tám năm tuổi của Ấn Độ.","Tòa nhà trụ sở Tata Capital sừng sững tại Mumbai dưới quốc kỳ Ấn Độ, đại diện cho một thế lực tài chính lâu đời.","A steady shot showing the solid black silhouette of a prominent financial corporate headquarters building in Mumbai, with a flag of India waving on a flagpole. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing terracotta orange (#FF7043) accent, 8-second continuous documentary video --ar 16:9"
CH02_SC020d,02,6,"Cú bắt tay này giúp các đại lý độc quyền của hãng xe Việt tiếp cận nguồn vốn lưu động để vận hành kho bãi.","Dòng tín dụng tiền tệ chảy từ biểu tượng tài chính chéo qua hệ thống nhà kho đại lý VinFast, làm sáng lên các xe SUV điện mang logo chữ V.","A steady shot showing a flat 2D vector graphic of a currency flow line flowing from a financial institute symbol to VinFast showrooms, lighting up VinFast electric SUVs with stylized letter ""V"" logos. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing turquoise (#26A69A) accent, 8-second continuous documentary video --ar 16:9"
CH02_SC021a,02,6,"Nghịch lý cạnh tranh này phản ánh sự linh hoạt cao độ của doanh nghiệp trước áp lực thanh khoản.","Hai quân cờ vua màu trắng và đen đứng đối diện nhau trên bàn cờ, nhưng dòng tiền bên dưới vẫn kết nối chúng lại.","A steady shot showing a white chess piece and a black chess piece facing each other on a chessboard, connected by a glowing currency stream underneath. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing turquoise (#26A69A) accent, 8-second continuous documentary video --ar 16:9"
CH03_SC029a,03,8,"Thuế suất nhập khẩu xe nguyên chiếc từ Việt Nam sang các nước Nam Á láng giềng dao động từ năm mươi đến một trăm phần trăm.","Biểu đồ so sánh thuế suất quan trọng: Mũi tên từ Hải Phòng đi Nam Á chịu thuế suất cực cao '50% - 100% DUTY' màu đỏ cảnh báo.","A steady shot showing a flat 2D vector graphic of an arrow from Hai Phong to neighboring South Asian countries showing a high tariff barrier of ""50%-100% DUTY"" in red. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing crimson coral red (#EF5350) accent, 8-second continuous documentary video --ar 16:9"
CH03_SC030d,03,7,"Vị trí gần cảng Thoothukudi cũng giúp tối ưu chi phí vận chuyển đi Vùng Vịnh và Đông Phi.","Hình tượng so sánh logistics giữa cảng Hải Phòng và Thoothukudi đi Vùng Vịnh và Đông Phi, cự ly từ cảng Ấn Độ ngắn và tối ưu chi phí hơn hẳn.","A steady shot showing a flat 2D vector graphic comparing logistics routes from Hai Phong and Thoothukudi ports to the Gulf and East Africa, showing Thoothukudi route is shorter and cheaper. Cinematic editorial illustration style, minimalist graphic novel aesthetic, clean ink outlines, dramatic chiaroscuro lighting, deep noir shadows, dark warm charcoal (#1A1A1A) background, warm cream (#FFFDF0) outlines, glowing turquoise (#26A69A) accent, 8-second continuous documentary video --ar 16:9"
