CH01_SC001: @CH01_SC001.png -> A steady shot showing the orange glow pulsing slowly, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC002: @CH01_SC002.png -> A slow camera panning showing the ink drying on the paper, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC003: @CH01_SC003.png -> A slow camera panning showing her touching the necklace with a trembling hand, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC004: @CH01_SC004.png -> A steady shot showing the ice spreading across the vault locking mechanism, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC005: @CH01_SC005.png -> A slow camera panning showing the silhouettes shifting restlessly in the cold night, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC006: @CH01_SC006.png -> A close-up shot showing his hands gently pushing the box away, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC007: @CH01_SC007.png -> A steady shot showing rain drops sliding down the dark neon glass tubes, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC008: @CH01_SC008.png -> A slow camera panning showing the red line glowing brighter, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC009: @CH01_SC009.png -> A subtle slow zoom-in showing him adjusting his glasses under the blinking alarm light, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC010: @CH01_SC010.png -> A steady shot showing the green laser beam pulsing as it marks the stone, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC011: @CH01_SC011.png -> A slow camera panning showing the red line extending further down, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC012: @CH01_SC012.png -> A steady shot showing the arrows slowly sliding downwards, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC013: @CH01_SC013.png -> A slow camera panning showing the flashing numbers reflecting on the polished floor, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC014: @CH01_SC014.png -> A steady shot showing dust motes floating in the light beam, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC015: @CH01_SC015.png -> A subtle slow zoom-in showing the left pan dropping down, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC016: @CH01_SC016.png -> A slow camera panning showing the hands moving the currency bills, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH01_SC017: @CH01_SC017.png -> A steady shot showing the light beam rotating slightly to catch the facets, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9
