CH02_SC018: @CH02_SC018.png -> A steady shot showing the light reflecting off the gold surface, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC019: @CH02_SC019.png -> A slow camera panning showing the green line shifting upward, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC020: @CH02_SC020.png -> A subtle slow zoom-in showing the merchant's fingers sliding the bills, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC021: @CH02_SC021.png -> A steady shot showing a shadow stretching across the board, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC022: @CH02_SC022.png -> A slow camera panning showing the dust swirling in the cold courtroom air, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC023: @CH02_SC023.png -> A subtle slow zoom-out showing the paper lying under a desk lamp, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC024: @CH02_SC024.png -> A steady shot showing the lens focusing closer on the stone, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC025: @CH02_SC025.png -> A slow camera panning showing the reflection of pedestrians walking past, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC026: @CH02_SC026.png -> A steady shot showing the diamond sparkling in their palm, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC027: @CH02_SC027.png -> A subtle slow zoom-in showing the golden and white light reflections, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC028: @CH02_SC028.png -> A steady shot showing the light in the shop window flickering gently, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC029: @CH02_SC029.png -> A slow camera panning showing the street lights and shadows around the boutique, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC030: @CH02_SC030.png -> A steady shot showing sparks falling from the broken neon sign, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC031: @CH02_SC031.png -> A subtle slow zoom-out showing the customer retracting their hand, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC032: @CH02_SC032.png -> A steady shot showing the harsh light casting a long dark shadow, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC033: @CH02_SC033.png -> A slow camera panning upward showing the cracks widening, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC034: @CH02_SC034.png -> A steady shot showing a black knight piece sliding off the board, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC035: @CH02_SC035.png -> A subtle slow zoom-in showing the bills sliding into cardboard boxes, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC036: @CH02_SC036.png -> A slow camera panning showing the screen glowing in a dark room, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9

CH02_SC037: @CH02_SC037.png -> A steady shot showing the key's glow illuminating the facets of the diamond, preserving the details of the reference image, 8-second continuous documentary video --ar 16:9
