segment_id,start_hint,end_hint,emotion,semantic_theme,visual_motifs,motion_style,duration_hint,notes

CH1_SC01,0:00,0:08,grief,grieving family,"2D minimalist vector illustration of medium shot. The Wife, a slender Asian woman with long black hair tied in a neat low ponytail, wearing a dark blue long-sleeve top, sits on a couch in a dimly lit, cluttered living room, trembling and wiping tears. In the out-of-focus background, a toddler with short black hair plays with scattered toys. Deep navy and charcoal gray tones, soft shadows., flat design, Nordic Noir with soft crimson red accents",slow panning,8.0,"medium shot. The Wife, a slender Asian woman with long bl..."

CH1_SC02,0:08,0:16,grief,grieving family,"2D minimalist vector illustration of close-up shot. The Wife, a slender Asian woman with long black hair tied in a neat low ponytail, looking exhausted and sorrowful, with soft shadow cast on her face. Her chest rises and falls slowly with heavy breathing. Cold gray and deep navy tones., flat design, Nordic Noir colors",slow dolly-in,8.0,"close-up shot. The Wife, a slender Asian woman with long ..."

CH1_SC03,0:16,0:24,neutral,narrative,"2D minimalist vector illustration of shot. A closed dark wooden bedroom door. A cold ray of icy blue light leaks from the narrow gap under the door onto the dark wooden floorboards. Moody, silent, and desolate atmosphere., flat design, Nordic Noir with icy blue accents",locked tripod,8.0,shot. A closed dark wooden bedroom door. A cold ray of ic...

CH1_SC04,0:24,0:32,detachment,spiritual bypass meditation,"2D minimalist vector illustration of medium shot. Inside a dark bedroom, The Meditator, a slender Asian man with short clean-cut black hair, wearing a dark gray loose-fitting organic linen shirt and dark pants, sits in a cross-legged lotus meditation pose. He is in half-shadow, with a cold spotlight hitting his closed eyes. Extremely still and rigid posture. Charcoal gray and icy blue tones., flat design, Nordic Noir with icy blue accents",slow panning,8.0,"medium shot. Inside a dark bedroom, The Meditator, a slen..."

CH1_SC05,0:32,0:40,detachment,spiritual bypass meditation,"2D minimalist vector illustration of shot. The Meditator's calm, expressionless face during meditation. His eyes remain shut, and his features are completely blank and frozen, despite faint blue soundwave lines suggesting noise coming from the outside room. Flat gray and cold blue tones., flat design, Nordic Noir with icy blue accents",locked tripod close-up,8.0,"shot. The Meditator's calm, expressionless face during me..."

CH1_SC06,0:40,0:48,detachment,spiritual bypass meditation,"2D minimalist vector illustration of macro shot. Close-up on The Meditator's jaw, showing subtle muscle tension under a harsh side-lighting setup. Volumetric gray dust particles float slowly in the dark air. Charcoal and deep navy tones., flat design, Nordic Noir colors",slow dolly-in,8.0,"macro shot. Close-up on The Meditator's jaw, showing subt..."

CH1_SC07,0:48,0:56,detachment,spiritual bypass meditation,"2D minimalist vector illustration of Cinematic slow pull-back wide shot. The Meditator sitting in a lotus position, looking like a rigid, gray stone statue in the middle of a vast, empty concrete room. Nordic Noir moody color grading, deep navy and charcoal gray tones., flat design, Nordic Noir colors",slow pull-back wide shot,8.0,Cinematic slow pull-back wide shot. The Meditator sitting...

CH1_SC08,0:56,1:04,clinical,scientific validation,"2D minimalist vector illustration of shot. A clinical laboratory desk with a paper medical report illuminated by a harsh white surgical lamp. The rest of the desk and room are covered in deep, dark navy shadows. Cold, sterile atmosphere., flat design, Nordic Noir with soft crimson red accents",locked tripod,8.0,shot. A clinical laboratory desk with a paper medical rep...

CH1_SC09,1:04,1:12,burden,karma burden,"2D minimalist vector illustration of macro shot. Vintage typewriter keys striking a sheet of off-white paper, typing the letters 'SPIRITUAL BYPASSING' in dark navy ink. Shallow depth of field, heavy dark shadows in the background., flat design, Nordic Noir colors",slow tilt-down,8.0,macro shot. Vintage typewriter keys striking a sheet of o...

CH1_SC10,1:12,1:20,neutral,narrative,"2D minimalist vector illustration of shot. An empty dark hallway with a closed door at the end. Cold blue moonlight filters through a high window, casting long geometric window-frame shadows on the dark wooden floor., flat design, Nordic Noir with icy blue accents",locked tripod,8.0,shot. An empty dark hallway with a closed door at the end...

CH1_SC11,1:20,1:28,clinical,scientific validation,"2D minimalist vector illustration of medium shot. A clean clinical laboratory. The Researcher, a professional Asian man with neat hair and thin-frame glasses, wearing a dark gray laboratory jacket, adjusts a modern digital microscope. Clinical blue and stark white tones., flat design, Nordic Noir with icy blue accents",slow panning,8.0,"medium shot. A clean clinical laboratory. The Researcher,..."

CH1_SC12,1:28,1:36,clinical,scientific validation,"2D minimalist vector illustration of shot. The Researcher's hand adjusting the microscope in the foreground, while a digital monitor in the background displays the text 'Brown University Study 2021' in a clean white sans-serif font. Clinical navy and white tones., flat design, Nordic Noir colors",locked tripod,8.0,shot. The Researcher's hand adjusting the microscope in t...

CH1_SC13,1:36,1:44,clinical,data visualization,"2D minimalist vector illustration of shot. A dark flat screen showing a clean statistic bar graph rising sharply. Bright gold numbers '58% Side Effects' and '37% Impairment' glow softly on the dark screen. High contrast, dark navy background., flat design, Nordic Noir with warm gold accents",slow panning,8.0,shot. A dark flat screen showing a clean statistic bar gr...

CH1_SC14,1:44,1:52,clinical,scientific validation,"2D minimalist vector illustration of shot. The glowing gold data points on the dark clinical monitor reflect off a highly polished metallic counter in a dark laboratory. Deep navy and gold tones., flat design, Nordic Noir with warm gold accents",slow dolly-in,8.0,shot. The glowing gold data points on the dark clinical m...

