Scene ID,Chapter,Sentence Count,Duration (Sec),Visual Summary,Video Prompt
CH01_SC001a,1,2,8,"Đồ họa 2D cuốn sách dạy làm giàu đặt cạnh cuốn Kinh Thánh dày cổ kính, ánh sáng dịu nhẹ.","steady shot showing a flat 2D graphic of a self-help book with a shining gold star on the cover placed side-by-side with a thick, ancient leather-bound Holy Bible, on a dark solid background, with the on-screen text ""BEST SELLER"" appearing above them. Soft warm lighting, symmetrical layout. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC001b,1,1,7,"Bóng đen một người đàn ông nhìn lên bầu trời đầy sao lấp lánh, tràn ngập hy vọng.","slow camera panning showing the clean black silhouette of a hopeful man looking up towards a dark night sky filled with shimmering yellow stars and glowing nebulae, set against a dark purple and indigo gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002a,1,1,6,"Bóng đen chân dung Napoleon Hill tách đôi, một nửa sáng một nửa tối tương phản.","slow camera tracking shot showing the clean black silhouette of a writer's side profile splitting down the middle, with one half glowing gold and the other half cast in deep shadow, set against a dark magenta and violet gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002b,1,1,8,"Ví tiền bằng da nằm mở trên bàn gỗ tối màu, bên trong không có tiền mặt.","steady shot showing a worn, open brown leather wallet lying flat on a dark wooden table, with empty pockets exposed under a dim spotlight, set against a dark teal and gray gradient background. Soft dramatic shadows, high contrast. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002c,1,1,8,"Bóng đen người đàn ông ngồi thiền, các đường hào quang ảo ảnh tỏa ra xung quanh.","steady shot showing the clean black silhouette of a man sitting in meditation pose, with illusory golden halo lines and abstract frequency waves expanding outwards from his body, set against a dark violet and magenta gradient background. Symmetrical layout, glowing backlight. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002d,1,1,6,"Đồ họa vector một bàn tay trao cuốn sách ""Think and Grow Rich"" nhận lại những tờ tiền USD xanh.","slow camera panning showing a flat 2D vector graphic of one hand passing a book with a dollar sign on the cover to another hand, which returns several green paper dollar bills, on a solid dark gray background. Clean outlines, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002e,1,1,7," Silhouette người đàn ông ngồi gục đầu bên đống hóa đơn nợ nần chồng chất dưới ánh đèn bàn leo lét.","steady medium shot showing the clean black silhouette of a distressed man sitting at a wooden desk with his head in his hands, surrounded by messy stacks of unpaid bills and debt notices under a single hanging lightbulb, set against a dark teal gradient background. High contrast, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC002f,1,1,6," Silhouette người đàn ông ngồi gục đầu bên đống hóa đơn nợ nần chồng chất dưới ánh đèn bàn leo lét.","slow camera panning showing the clean black silhouette of a man running with a suitcase through a foggy alleyway, with red warning lights flashing faintly in the background, set against a dark gray and indigo gradient background. Moody lighting, deep shadows. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003a,1,1,6,"Lệnh truy nã cổ điển năm 1908 in chữ ""Oliver Hill"" trên nền giấy nâu ố cũ kỹ.","steady shot showing a flat 2D vintage 1908 arrest warrant document on stained brown paper, with the bold English text ""WANTED FOR FRAUD"" printed at the top, on a solid dark gray background. Soft warm lighting, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003b,1,1,6,"Lệnh truy nã cổ điển năm 1908 in chữ ""Oliver Hill"" trên nền giấy nâu ố cũ kỹ.","slow camera tracking shot showing a flat 2D vintage 1908 arrest warrant document on stained brown paper, with the bold English text ""WANTED FOR FRAUD"" printed at the top, on a solid dark gray background. Moody backlight, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003c,1,1,6,"Bóng đen một người ký tờ séc giả trước đống gỗ thông thô chất đống tại xưởng cưa.","steady shot showing the clean black silhouette of a man signing a check with a fountain pen at a desk, with a background depicting a large stack of raw pine logs at a sawmill, set against a dark orange and charcoal gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003d,1,1,4,"Lệnh truy nã cổ điển năm 1908 in chữ ""Oliver Hill"" trên nền giấy nâu ố cũ kỹ.","steady shot showing a flat 2D vintage 1908 arrest warrant document on stained brown paper, with the bold English text ""WANTED FOR FRAUD"" printed at the top, on a solid dark gray background. Symmetrical composition, soft warm lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003e,1,1,6,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Họ mua gỗ bằng các khoản vay tín chấp, rồi bán tháo lấy tiền mặt và bỏ trốn.","slow camera panning left showing the clean black silhouette of two men carrying sacks of cash away from a pile of timber towards a train station platform, set against a deep blue and warm amber gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003f,1,1,4,"Lệnh truy nã cổ điển năm 1908 in chữ ""Oliver Hill"" trên nền giấy nâu ố cũ kỹ.","steady shot showing a flat 2D vintage 1908 arrest warrant document on stained brown paper, with the bold English text ""WANTED FOR FRAUD"" printed at the top, on a solid dark gray background. Symmetrical layout, soft warm lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC003g,1,1,5," Silhouette người đàn ông bước lên tàu hỏa hơi nước trong đêm tối, kéo vali bỏ trốn.","subtle slow zoom-in showing the clean black silhouette of a man wearing a trench coat and fedora boarding a steam train in the dark of night, carrying a suitcase, set against a dark teal and orange gradient background. Moody lighting, deep shadows. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004a,1,1,7,"Bóng đen một người đàn ông nhìn lên bầu trời đầy sao lấp lánh, tràn ngập hy vọng.","slow camera panning showing the clean black silhouette of a writer sitting at a desk looking out a window at a starry sky, set against a rich violet and amber gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004b,1,1,7,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","slow camera tracking shot showing the clean black silhouette of a man wearing a fedora walking down a dark, misty city street lined with vintage streetlights, set against a dark navy and gold gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004c,1,1,5,"Chân dung đồ họa 2D của tỷ phú Andrew Carnegie với ánh nhìn sắc sảo, nghiêm nghị.","steady shot showing a 2D graphic novel portrait of a legendary steel tycoon with white hair and a serious, sharp expression, set against a rich violet and orange gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004d,1,1,4,"Hai chiếc bóng đen ngồi đối diện nhau đàm đạo bên chiếc bàn tròn cổ điển.","steady shot showing the clean black silhouettes of two men sitting in ornate high-back chairs opposite each other at a round wooden table, conversing, set against a moody dark teal and gold gradient background. Symmetrical composition, soft warm lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004e,1,1,6,"Chân dung đồ họa 2D của tỷ phú Andrew Carnegie với ánh nhìn sắc sảo, nghiêm nghị.","steady shot showing a 2D graphic novel portrait of a legendary steel tycoon looking directly forward with a stern and commanding gaze, set against a rich violet and gold gradient background. Symmetrical layout, soft warm lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004f,1,1,6,"Bàn tay mở trống rỗng dưới ánh sáng rọi thẳng từ trên xuống, thể hiện sự vô tư.","steady close-up shot showing a flat 2D graphic of a large open book with symbolic icons representing success floating out of it, under a warm spotlight, set against a dark teal background. Symmetrical layout, soft warm lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC004g,1,1,3,"Bàn tay mở trống rỗng dưới ánh sáng rọi thẳng từ trên xuống, thể hiện sự vô tư.","steady close-up shot showing a flat 2D graphic of an open, empty hand under a cold blue spotlight, with a red strike-through line over a falling gold coin, set against a dark navy background. Symmetrical composition, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC005a,1,1,6,"Hàng vạn bóng người đi trong sương mù lạnh giá, hướng về một vệt sáng vàng ấm áp.","slow camera tracking shot showing the clean black silhouettes of thousands of people walking through a cold, misty blue fog towards a bright yellow path of light in the distance, set against a dark blue and amber gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC005b,1,1,7,"Hình ảnh một vực sâu ngăn cách giữa cuốn sách tự lực phát sáng và đống hồ sơ tòa án tối tăm.","steady shot showing a deep, dark chasm separating a glowing self-help book on one side and a messy, dark pile of official court files on the other side, set against a dark purple and orange gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006a,1,1,8,"Chân dung đồ họa 2D của tỷ phú Andrew Carnegie với ánh nhìn sắc sảo, nghiêm nghị.","steady shot showing a 2D graphic novel portrait of an old, wise steel tycoon with a white beard, looking forward thoughtfully while wearing a formal dark suit, set against a rich teal and gold gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006b,1,1,7,"Trang nhật ký viết tay cũ kỹ của Carnegie lật mở, không có nét chữ nào nhắc đến Hill.","slow camera panning showing a flat 2D vector graphic of the open pages of a vintage handwritten diary, with blank lines under a dim spotlight, on a solid dark gray background. Soft warm lighting, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006c,1,1,6,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","slow camera tracking shot showing the clean black silhouette of a man wearing a fedora hat walking away from the camera down a dark street, disappearing into the shadows, set against a dark violet and magenta gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006d,1,1,5,"Căn phòng làm việc cổ kính, sang trọng tại New York với thảm đỏ và ghế da lớn.","steady shot showing an empty, grand vintage office with dark wood paneling, a large leather chair, a red carpet, and a large desk under a warm lamp, set against a dark teal and amber gradient background. Symmetrical composition, soft warm lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006e,1,1,7,"Căn phòng làm việc cổ kính, sang trọng tại New York với thảm đỏ và ghế da lớn.","slow camera panning showing the exterior silhouette of a massive stone castle situated on a misty slope under a dark, starry European night sky, set against a dark indigo and blue gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC006f,1,1,7,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","steady shot showing the clean black silhouette of a man wearing a fedora standing under a flickering street lamp, looking down at his empty hands, set against a dark gray and orange gradient background. Symmetrical layout, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC007a,1,1,6,"Tấm mặt nạ kịch nghệ mỉm cười che đi khuôn mặt lo âu, tội lỗi phía sau.","steady shot showing the clean black silhouette of a theater mask with a wide smiling face, slowly cracking to reveal a pair of anxious, worried eyes peering out from behind it, set against a dark red and black gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC007b,1,1,5,"Tấm mặt nạ kịch nghệ mỉm cười che đi khuôn mặt lo âu, tội lỗi phía sau.","slow camera panning showing a flat 2D vector graphic of a theater mask with a big smile, sitting on a pile of crumbled arrest warrants and legal papers, on a solid dark gray background. Soft warm lighting, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC008a,1,1,3,"Đồ họa vector tối giản logo kênh Tâm Lý Học với biểu tượng não bộ và nút đăng ký đỏ.","steady shot showing a flat 2D vector graphic of the channel logo, a stylized human brain emitting soft glowing waves next to a bright red ""SUBSCRIBE"" button, on a solid dark gray background. Symmetrical composition, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC008b,1,1,8,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Nếu bạn đã mệt mỏi với những công thức làm giàu siêu hình và muốn tìm con đường thấu hiểu bản thân thực tế.","slow camera tracking shot showing the clean black silhouette of a person walking on a path of white light, surrounded by chaotic glowing energy lines and abstract symbols of success, set against a dark teal and violet gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC008c,1,2,8,"Đồ họa vector tối giản logo kênh Tâm Lý Học với biểu tượng não bộ và nút đăng ký đỏ.","slow camera panning showing a flat 2D vector graphic of a hand clicking a bright red ""SUBSCRIBE"" button on a clean white user interface screen, on a solid dark gray background. Symmetrical layout, soft warm lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC008d,1,1,5,"Bộ não người phát ra các tia sét sóng điện sinh học méo mó, không đồng đều.","steady shot showing a flat 2D vector illustration of a human brain with erratic, uneven electric lightning bolts radiating from it, set against a dark purple and indigo background. High contrast, cinematic lighting. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC008e,1,1,5,"Cuốn sách ""Think and Grow Rich"" phát ra ánh sáng vàng ấm áp ru ngủ một người đang ngủ say.","steady medium shot showing the clean black silhouette of a person sleeping peacefully in a bed, with a glowing self-help book on a nightstand casting warm golden rays over the room, set against a dark indigo gradient background. Moody lighting, deep shadows. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009a,1,1,6,"Chân dung đồ họa 2D của tỷ phú Andrew Carnegie với ánh nhìn sắc sảo, nghiêm nghị.","steady shot showing a 2D graphic novel illustration of a grand statue of a wealthy industrialist, which is slowly cracking and crumbling into dust, set against a dark amber and gray gradient background. Symmetrical layout, dramatic chiaroscuro lighting. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009b,1,1,5,"Bộ lọc lưới hình học màu xám bị gãy nứt, để các hạt bụi ý nghĩ trôi qua tự do.","steady shot showing a flat 2D vector graphic of a grey mesh filter with large cracks, letting tiny bright yellow glowing particles drift through unchecked, set against a solid dark gray background. Symmetrical composition, high contrast. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009c,1,1,7,"Bộ lọc lưới hình học màu xám bị gãy nứt, để các hạt bụi ý nghĩ trôi qua tự do.","slow camera panning showing a flat 2D vector graphic of a brain outline with a broken padlock symbol next to it, with glowing yellow dust particles flowing inside, on a solid dark gray background. Soft warm lighting, clean outlines. flat 2D vector illustration style, clean bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009d,1,1,3,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","slow camera panning showing the clean black silhouette of a clever author looking through a magnifying glass at a map of human psychology, set against a dark teal and orange gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009e,1,1,8,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Ông biết rằng để bán được một công thức thành công mơ hồ, ông cần những nhân chứng khổng lồ đứng đỡ sau lưng.","slow camera tracking shot showing the clean black silhouette of a man walking on a tightrope held up by two giant stone hands in the sky, set against a dark violet and magenta gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009f,1,1,6,"Bóng đen vĩ nhân đứng trên bục cao chống đỡ bởi những cột gỗ mục nát.","steady shot showing the clean black silhouette of a grand statue of an industrialist standing on a tall marble pedestal that is supported by rotting, splitting wooden columns, set against a dark orange and black gradient background. Symmetrical composition, dramatic chiaroscuro. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC009g,1,1,5,"Bức tranh ẩn dụ 2D nghệ thuật tâm lý, bóng đen con người và các luồng sáng màu gradient rực rỡ thể hiện nội dung: Bằng những trò dàn dựng truyền thông khôn ngoan nhất của thế kỷ hai mươi.","slow camera panning showing the clean black silhouette of a man controlling a giant printing press that is printing newspapers with headlines in English, set against a dark navy and gold gradient background. Moody backlight, deep silhouettes. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
CH01_SC010a,1,1,8,"Silhouette một người đàn ông đội mũ phớt che nửa mặt đi vào bóng tối đường phố.","slow camera tracking shot showing the clean black silhouette of a puppet master holding wooden controls with thin strings extending downwards into dark space, set against a dark violet and amber gradient background. Moody lighting, deep shadows. minimalist graphic novel ink style, high contrast, bold outlines, flat colors, vibrant color palette, cinematic lighting, 8-second continuous documentary video --ar 16:9"
